name;zipCode
L ABERGEMENT CLEMENCIAT;01400
L ABERGEMENT DE VAREY;01640
AMBERIEU EN BUGEY;01500
AMBERIEUX EN DOMBES;01330
AMBLEON;01300
AMBRONAY;01500
AMBUTRIX;01500
ANDERT ET CONDON;01300
ANGLEFORT;01350
APREMONT;01100
ARANC;01110
ARANDAS;01230
ARBENT;01100
ARBOYS EN BUGEY;01300
ARBOYS EN BUGEY;01300
ARBIGNY;01190
ARGIS;01230
ARMIX;01510
ARS SUR FORMANS;01480
ARTEMARE;01510
ASNIERES SUR SAONE;01570
ATTIGNAT;01340
BAGE DOMMARTIN;01380
BAGE DOMMARTIN;01380
BAGE LE CHATEL;01380
BALAN;01360
BANEINS;01990
BEAUPONT;01270
BEAUREGARD;01480
BELLIGNAT;01100
BELIGNEUX;01360
BELIGNEUX;01360
BELIGNEUX;01360
BELIGNEUX;01360
VALSERHONE;01200
VALSERHONE;01200
VALSERHONE;01200
VALSERHONE;01200
VALSERHONE;01200
BELLEY;01300
BELLEYDOUX;01130
VALROMEY SUR SERAN;01260
VALROMEY SUR SERAN;01260
VALROMEY SUR SERAN;01260
VALROMEY SUR SERAN;01260
VALROMEY SUR SERAN;01260
VALROMEY SUR SERAN;01260
VALROMEY SUR SERAN;01260
BENONCES;01470
BENY;01370
BEREZIAT;01340
BETTANT;01500
BEY;01290
BEYNOST;01700
BILLIAT;01200
BIRIEUX;01330
BIZIAT;01290
BLYES;01150
LA BOISSE;01120
BOISSEY;01190
BOISSEY;01380
BOLOZON;01450
BOULIGNEUX;01330
BOURG EN BRESSE;01000
BOURG EN BRESSE;01000
BOURG ST CHRISTOPHE;01800
BOURG ST CHRISTOPHE;01800
BOYEUX ST JEROME;01640
BOZ;01190
BREGNIER CORDON;01300
BRENOD;01110
BRENS;01300
BRESSOLLES;01360
BRESSOLLES;01360
BRION;01460
BRIORD;01470
BUELLAS;01310
BUELLAS;01310
LA BURBANCHE;01510
CEIGNES;01430
CERDON;01450
CERTINES;01240
CESSY;01170
CEYZERIAT;01250
CEYZERIEU;01350
CHALAMONT;01320
CHALEINS;01480
CHALEY;01230
CHALLES LA MONTAGNE;01450
CHALLEX;01630
CHAMPAGNE EN VALROMEY;01260
CHAMPAGNE EN VALROMEY;01260
CHAMPAGNE EN VALROMEY;01260
CHAMPDOR CORCELLES;01110
CHAMPDOR CORCELLES;01110
CHAMPFROMIER;01410
CHANAY;01420
CHANEINS;01990
CHANOZ CHATENAY;01400
LA CHAPELLE DU CHATELARD;01240
CHARIX;01130
CHARNOZ SUR AIN;01800
CHATEAU GAILLARD;01500
CHATENAY;01320
CHATILLON LA PALUD;01320
CHATILLON SUR CHALARONNE;01400
CHAVANNES SUR REYSSOUZE;01190
NIVIGNE ET SURAN;01250
NIVIGNE ET SURAN;01250
CHAVEYRIAT;01660
CHAZEY BONS;01300
CHAZEY BONS;01510
CHAZEY SUR AIN;01150
CHEIGNIEU LA BALME;01510
CHEVILLARD;01430
CHEVROUX;01190
CHEVRY;01170
CHEZERY FORENS;01200
CHEZERY FORENS;01410
CIVRIEUX;01390
CIZE;01250
CLEYZIEU;01230
COLIGNY;01270
COLLONGES;01550
COLOMIEU;01300
CONAND;01230
CONDAMINE;01430
CONDEISSIAT;01400
CONFORT;01200
CONFRANCON;01310
CONTREVOZ;01300
CONZIEU;01300
CORBONOD;01420
CORLIER;01110
CORMORANCHE SUR SAONE;01290
CORMOZ;01560
CORVEISSIAT;01250
COURMANGOUX;01370
COURTES;01560
CRANS;01320
BRESSE VALLONS;01340
BRESSE VALLONS;01340
CRESSIN ROCHEFORT;01350
CROTTET;01290
CROTTET;01750
CROZET;01170
CRUZILLES LES MEPILLAT;01290
CULOZ BEON;01350
CULOZ BEON;01350
CURCIAT DONGALON;01560
CURTAFOND;01310
CUZIEU;01300
DAGNEUX;01120
DIVONNE LES BAINS;01220
DOMPIERRE SUR VEYLE;01240
DOMPIERRE SUR CHALARONNE;01400
DOMSURE;01270
DORTAN;01590
DOUVRES;01500
DROM;01250
DRUILLAT;01160
ECHALLON;01130
ECHENEVEX;01170
EVOSGES;01230
FARAMANS;01800
FAREINS;01480
FARGES;01550
FEILLENS;01570
FERNEY VOLTAIRE;01210
FLAXIEU;01350
FOISSIAT;01340
FRANCHELEINS;01090
FRANCHELEINS;01090
FRANCHELEINS;01090
FRANS;01480
GARNERANS;01140
GENOUILLEUX;01090
BEARD GEOVREISSIAT;01460
GEOVREISSET;01100
GEX;01170
GIRON;01130
GORREVOD;01190
GRAND CORENT;01250
GRIEGES;01290
GRILLY;01220
GROISSIAT;01100
GUEREINS;01090
HAUTECOURT ROMANECHE;01250
HAUTECOURT ROMANECHE;01250
PLATEAU D HAUTEVILLE;01110
PLATEAU D HAUTEVILLE;01110
PLATEAU D HAUTEVILLE;01110
PLATEAU D HAUTEVILLE;01110
HAUT VALROMEY;01260
HAUT VALROMEY;01260
HAUT VALROMEY;01260
HAUT VALROMEY;01260
HAUT VALROMEY;01260
ILLIAT;01140
INJOUX GENISSIAT;01200
INJOUX GENISSIAT;01200
INNIMOND;01680
IZENAVE;01430
IZERNORE;01580
IZIEU;01300
JASSANS RIOTTIER;01480
JASSERON;01250
JAYAT;01340
JOURNANS;01250
JOYEUX;01800
JUJURIEUX;01640
LABALME;01450
LAGNIEU;01150
LAIZ;01290
LE POIZAT LALLEYRIAT;01130
LE POIZAT LALLEYRIAT;01130
LANTENAY;01430
LAPEYROUSE;01330
LAVOURS;01350
LEAZ;01200
LELEX;01410
LENT;01240
LESCHEROUX;01560
LEYMENT;01150
LEYSSARD;01450
SURJOUX LHOPITAL;01420
SURJOUX LHOPITAL;01420
LHUIS;01680
LOMPNAS;01680
LOYETTES;01360
LURCY;01090
MAGNIEU;01300
MAGNIEU;01300
MAILLAT;01430
MALAFRETAZ;01340
MANTENAY MONTLIN;01560
MANZIAT;01570
MARBOZ;01851
MARCHAMP;01680
MARIGNIEU;01300
MARLIEUX;01240
MARSONNAS;01340
MARTIGNAT;01100
MASSIEUX;01600
MASSIGNIEU DE RIVES;01300
MATAFELON GRANGES;01580
MATAFELON GRANGES;01580
MEILLONNAS;01370
MERIGNAT;01450
MESSIMY SUR SAONE;01480
MEXIMIEUX;01800
BOHAS MEYRIAT RIGNAT;01250
BOHAS MEYRIAT RIGNAT;01250
BOHAS MEYRIAT RIGNAT;01250
MEZERIAT;01660
MIJOUX;01170
MIJOUX;01410
MIONNAY;01390
MIRIBEL;01700
MIRIBEL;01700
MIRIBEL;01700
MISERIEUX;01600
MOGNENEINS;01140
MONTAGNAT;01250
MONTAGNIEU;01470
MONTANGES;01200
MONTCEAUX;01090
MONTCET;01310
LE MONTELLIER;01800
MONTHIEUX;01390
MONTLUEL;01120
MONTLUEL;01120
MONTLUEL;01120
MONTMERLE SUR SAONE;01090
MONTRACOL;01310
MONTREAL LA CLUSE;01460
MONTREVEL EN BRESSE;01340
NURIEUX VOLOGNAT;01460
NURIEUX VOLOGNAT;01460
MURS ET GELIGNIEUX;01300
NANTUA;01130
NANTUA;01460
NEUVILLE LES DAMES;01400
NEUVILLE SUR AIN;01160
LES NEYROLLES;01130
NEYRON;01700
NIEVROZ;01120
NIVOLLET MONTGRIFFON;01230
ONCIEU;01230
ORDONNAZ;01510
ORNEX;01210
OUTRIAZ;01430
OYONNAX;01100
OYONNAX;01100
OYONNAX;01100
OZAN;01190
PARCIEUX;01600
PARVES ET NATTAGES;01300
PARVES ET NATTAGES;01300
PERON;01630
PERONNAS;01960
PEROUGES;01800
PERREX;01540
PEYRIAT;01430
PEYRIEU;01300
PEYZIEUX SUR SAONE;01140
PIRAJOUX;01270
PIZAY;01120
PLAGNE;01130
LE PLANTAY;01330
POLLIAT;01310
POLLIEU;01350
PONCIN;01450
PONT D AIN;01160
PONT DE VAUX;01190
PONT DE VEYLE;01290
PORT;01460
POUGNY;01550
POUILLAT;01250
PREMEYZEL;01300
PREMILLIEU;01110
PREVESSIN MOENS;01280
PREVESSIN MOENS;01280
PRIAY;01160
RAMASSE;01250
RANCE;01390
RELEVANT;01990
REPLONGES;01750
REVONNAS;01250
REYRIEUX;01600
REYSSOUZE;01190
RIGNIEUX LE FRANC;01800
ROMANS;01400
ROSSILLON;01510
ST ALBAN;01450
ST ANDRE DE BAGE;01380
ST ANDRE DE CORCY;01390
ST ANDRE D HUIRIAT;01290
ST ANDRE LE BOUCHOUX;01240
ST ANDRE SUR VIEUX JONC;01960
ST BENIGNE;01190
GROSLEE ST BENOIT;01300
GROSLEE ST BENOIT;01300
ST BERNARD;01600
STE CROIX;01120
ST CYR SUR MENTHON;01380
ST DENIS LES BOURG;01000
ST DENIS EN BUGEY;01500
ST DIDIER D AUSSIAT;01340
ST DIDIER DE FORMANS;01600
ST DIDIER SUR CHALARONNE;01140
ST ELOI;01800
ST ETIENNE DU BOIS;01370
ST ETIENNE SUR CHALARONNE;01140
ST ETIENNE SUR REYSSOUZE;01190
STE EUPHEMIE;01600
ST GENIS POUILLY;01630
ST GENIS SUR MENTHON;01380
ST GEORGES SUR RENON;01400
ST GERMAIN DE JOUX;01130
ST GERMAIN LES PAROISSES;01300
ST GERMAIN SUR RENON;01240
ST JEAN DE GONVILLE;01630
ST JEAN DE NIOST;01800
ST JEAN DE THURIGNEUX;01390
ST JEAN LE VIEUX;01640
ST JEAN SUR REYSSOUZE;01560
ST JEAN SUR VEYLE;01290
STE JULIE;01150
ST JULIEN SUR REYSSOUZE;01560
ST JULIEN SUR VEYLE;01540
ST JUST;01250
ST LAURENT SUR SAONE;01750
ST MARCEL;01390
ST MARTIN DE BAVEL;01510
ST MARTIN DU FRENE;01430
ST MARTIN DU MONT;01160
ST MARTIN LE CHATEL;01310
ST MAURICE DE BEYNOST;01700
ST MAURICE DE GOURDANS;01800
ST MAURICE DE REMENS;01500
ST NIZIER LE BOUCHOUX;01560
ST NIZIER LE DESERT;01320
STE OLIVE;01330
ST PAUL DE VARAX;01240
ST RAMBERT EN BUGEY;01230
ST REMY;01310
ST SORLIN EN BUGEY;01150
ST SULPICE;01340
ST TRIVIER DE COURTES;01560
ST TRIVIER SUR MOIGNANS;01990
ST VULBAS;01150
SALAVRE;01270
SAMOGNAT;01580
SANDRANS;01400
SAULT BRENAZ;01150
SAUVERNY;01220
SAVIGNEUX;01480
SEGNY;01170
SEILLONNAZ;01470
SERGY;01630
SERMOYER;01190
SERRIERES DE BRIORD;01470
SERRIERES SUR AIN;01450
SERVAS;01960
SERVIGNAT;01560
SEYSSEL;01420
SIMANDRE SUR SURAN;01250
SONTHONNAX LA MONTAGNE;01580
SONTHONNAX LA MONTAGNE;01580
SOUCLIN;01150
SULIGNAT;01400
TALISSIEU;01510
TENAY;01230
THIL;01120
THOIRY;01710
THOISSEY;01140
TORCIEU;01230
TOSSIAT;01250
TOUSSIEUX;01600
TRAMOYES;01390
LA TRANCLIERE;01160
VAL REVERMONT;01370
VAL REVERMONT;01370
VAL REVERMONT;01370
TREVOUX;01600
VALEINS;01140
VANDEINS;01660
VARAMBON;01160
VAUX EN BUGEY;01150
VERJON;01270
VERNOUX;01560
VERSAILLEUX;01330
VERSONNEX;01210
VESANCY;01170
VESCOURS;01560
VESINES;01570
VIEU D IZENAVE;01430
VILLARS LES DOMBES;01330
VILLEBOIS;01150
VILLEMOTIER;01270
VILLENEUVE;01480
VILLEREVERSURE;01250
VILLES;01200
VILLETTE SUR AIN;01320
VILLIEU LOYES MOLLON;01800
VILLIEU LOYES MOLLON;01800
VILLIEU LOYES MOLLON;01800
VIRIAT;01440
VIRIEU LE GRAND;01510
ARVIERE EN VALROMEY;01260
ARVIERE EN VALROMEY;01260
ARVIERE EN VALROMEY;01260
ARVIERE EN VALROMEY;01260
VIRIGNIN;01300
VONGNES;01350
VONNAS;01540
ABBECOURT;02300
ACHERY;02800
ACY;02200
AGNICOURT ET SECHELLES;02340
AGUILCOURT;02190
AISONVILLE ET BERNOVILLE;02110
AIZELLES;02820
AIZY JOUY;02370
AIZY JOUY;02370
ALAINCOURT;02240
ALLEMANT;02320
AMBLENY;02290
AMBRIEF;02200
AMIFONTAINE;02190
AMIGNY ROUY;02700
ANCIENVILLE;02600
ANDELAIN;02800
ANGUILCOURT LE SART;02800
ANIZY LE GRAND;02320
ANIZY LE GRAND;02320
ANIZY LE GRAND;02320
ANNOIS;02480
ANY MARTIN RIEUX;02500
ARCHON;02360
ARCY STE RESTITUE;02130
ARCY STE RESTITUE;02130
ARMENTIERES SUR OURCQ;02210
ARRANCY;02860
ARTEMPS;02480
ASSIS SUR SERRE;02270
ATHIES SOUS LAON;02840
ATTILLY;02490
AUBENCHEUL AUX BOIS;02420
AUBENTON;02500
AUBIGNY AUX KAISNES;02590
AUBIGNY EN LAONNOIS;02820
AUDIGNICOURT;02300
AUDIGNY;02120
AUGY;02220
AULNOIS SOUS LAON;02000
LES AUTELS;02360
AUTREMENCOURT;02250
AUTREPPES;02580
AUTREVILLE;02300
AZY SUR MARNE;02400
BAGNEUX;02290
BANCIGNY;02140
